address,actual_label
/kaggle/input/d/tr1ck5t3r/dogs-vs-cats/master/cat.12461.jpg,cat
/kaggle/input/d/tr1ck5t3r/dogs-vs-cats/master/dog.3443.jpg,dog
/kaggle/input/d/tr1ck5t3r/dogs-vs-cats/master/dog.7971.jpg,dog
/kaggle/input/d/tr1ck5t3r/dogs-vs-cats/master/dog.10728.jpg,dog
/kaggle/input/d/tr1ck5t3r/dogs-vs-cats/master/dog.1942.jpg,dog
/kaggle/input/d/tr1ck5t3r/dogs-vs-cats/master/dog.375.jpg,dog
/kaggle/input/d/tr1ck5t3r/dogs-vs-cats/master/cat.10176.jpg,cat
/kaggle/input/d/tr1ck5t3r/dogs-vs-cats/master/cat.8194.jpg,cat
/kaggle/input/d/tr1ck5t3r/dogs-vs-cats/master/dog.3259.jpg,dog
/kaggle/input/d/tr1ck5t3r/dogs-vs-cats/master/cat.3498.jpg,cat
/kaggle/input/d/tr1ck5t3r/dogs-vs-cats/master/dog.790.jpg,dog
/kaggle/input/d/tr1ck5t3r/dogs-vs-cats/master/cat.891.jpg,cat
/kaggle/input/d/tr1ck5t3r/dogs-vs-cats/master/cat.6912.jpg,cat
/kaggle/input/d/tr1ck5t3r/dogs-vs-cats/master/dog.6319.jpg,dog
/kaggle/input/d/tr1ck5t3r/dogs-vs-cats/master/cat.6932.jpg,cat
/kaggle/input/d/tr1ck5t3r/dogs-vs-cats/master/cat.2842.jpg,cat
/kaggle/input/d/tr1ck5t3r/dogs-vs-cats/master/dog.10577.jpg,dog
/kaggle/input/d/tr1ck5t3r/dogs-vs-cats/master/cat.8762.jpg,cat
/kaggle/input/d/tr1ck5t3r/dogs-vs-cats/master/dog.9079.jpg,dog
/kaggle/input/d/tr1ck5t3r/dogs-vs-cats/master/dog.10063.jpg,dog
/kaggle/input/d/tr1ck5t3r/dogs-vs-cats/master/cat.10692.jpg,cat
/kaggle/input/d/tr1ck5t3r/dogs-vs-cats/master/dog.8013.jpg,dog
/kaggle/input/d/tr1ck5t3r/dogs-vs-cats/master/cat.7083.jpg,cat
/kaggle/input/d/tr1ck5t3r/dogs-vs-cats/master/dog.4329.jpg,dog
/kaggle/input/d/tr1ck5t3r/dogs-vs-cats/master/cat.1.jpg,cat
/kaggle/input/d/tr1ck5t3r/dogs-vs-cats/master/dog.704.jpg,dog
/kaggle/input/d/tr1ck5t3r/dogs-vs-cats/master/cat.9820.jpg,cat
/kaggle/input/d/tr1ck5t3r/dogs-vs-cats/master/cat.115.jpg,cat
/kaggle/input/d/tr1ck5t3r/dogs-vs-cats/master/dog.10500.jpg,dog
/kaggle/input/d/tr1ck5t3r/dogs-vs-cats/master/dog.8299.jpg,dog
/kaggle/input/d/tr1ck5t3r/dogs-vs-cats/master/cat.3921.jpg,cat
/kaggle/input/d/tr1ck5t3r/dogs-vs-cats/master/dog.6281.jpg,dog
/kaggle/input/d/tr1ck5t3r/dogs-vs-cats/master/cat.6212.jpg,cat
/kaggle/input/d/tr1ck5t3r/dogs-vs-cats/master/dog.3593.jpg,dog
/kaggle/input/d/tr1ck5t3r/dogs-vs-cats/master/dog.7685.jpg,dog
/kaggle/input/d/tr1ck5t3r/dogs-vs-cats/master/cat.11191.jpg,cat
/kaggle/input/d/tr1ck5t3r/dogs-vs-cats/master/cat.7488.jpg,cat
/kaggle/input/d/tr1ck5t3r/dogs-vs-cats/master/dog.8597.jpg,dog
/kaggle/input/d/tr1ck5t3r/dogs-vs-cats/master/cat.4414.jpg,cat
/kaggle/input/d/tr1ck5t3r/dogs-vs-cats/master/cat.8583.jpg,cat
/kaggle/input/d/tr1ck5t3r/dogs-vs-cats/master/cat.9604.jpg,cat
/kaggle/input/d/tr1ck5t3r/dogs-vs-cats/master/cat.4420.jpg,cat
/kaggle/input/d/tr1ck5t3r/dogs-vs-cats/master/cat.7659.jpg,cat
/kaggle/input/d/tr1ck5t3r/dogs-vs-cats/master/cat.12465.jpg,cat
/kaggle/input/d/tr1ck5t3r/dogs-vs-cats/master/cat.9236.jpg,cat
/kaggle/input/d/tr1ck5t3r/dogs-vs-cats/master/dog.3287.jpg,dog
/kaggle/input/d/tr1ck5t3r/dogs-vs-cats/master/cat.10448.jpg,cat
/kaggle/input/d/tr1ck5t3r/dogs-vs-cats/master/dog.11327.jpg,dog
/kaggle/input/d/tr1ck5t3r/dogs-vs-cats/master/cat.8358.jpg,cat
/kaggle/input/d/tr1ck5t3r/dogs-vs-cats/master/cat.2939.jpg,cat
/kaggle/input/d/tr1ck5t3r/dogs-vs-cats/master/dog.9324.jpg,dog
/kaggle/input/d/tr1ck5t3r/dogs-vs-cats/master/cat.3949.jpg,cat
/kaggle/input/d/tr1ck5t3r/dogs-vs-cats/master/dog.83.jpg,dog
/kaggle/input/d/tr1ck5t3r/dogs-vs-cats/master/dog.6784.jpg,dog
/kaggle/input/d/tr1ck5t3r/dogs-vs-cats/master/dog.1494.jpg,dog
/kaggle/input/d/tr1ck5t3r/dogs-vs-cats/master/cat.3673.jpg,cat
/kaggle/input/d/tr1ck5t3r/dogs-vs-cats/master/cat.11368.jpg,cat
/kaggle/input/d/tr1ck5t3r/dogs-vs-cats/master/dog.6744.jpg,dog
/kaggle/input/d/tr1ck5t3r/dogs-vs-cats/master/cat.9015.jpg,cat
/kaggle/input/d/tr1ck5t3r/dogs-vs-cats/master/dog.5740.jpg,dog
/kaggle/input/d/tr1ck5t3r/dogs-vs-cats/master/dog.222.jpg,dog
/kaggle/input/d/tr1ck5t3r/dogs-vs-cats/master/cat.11120.jpg,cat
/kaggle/input/d/tr1ck5t3r/dogs-vs-cats/master/cat.10861.jpg,cat
